file,feature,label
static/voice/Abyan/2023-05-01T01_34_14.775Z.wav,"[[-5.8732703e+02 -5.6481360e+02 -5.7059393e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2603984e+01  3.3793167e+01  2.6612167e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 9.4050808e+00  1.4990234e+01  9.2034168e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.1221325e+00  3.0062959e+00  5.0152035e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.2167447e-01  3.9102724e+00  4.3695660e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.5218256e+00 -1.4318379e+00 -1.3145268e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_17.793Z.wav,"[[-577.08875   -534.50244   -512.4228    ...    0.           0.
     0.       ]
 [   0.          25.818916    35.785522  ...    0.           0.
     0.       ]
 [   0.         -12.431116   -19.41742   ...    0.           0.
     0.       ]
 ...
 [   0.          -1.4357165   -2.9258204 ...    0.           0.
     0.       ]
 [   0.           4.351986     2.7256613 ...    0.           0.
     0.       ]
 [   0.           0.9130089    2.4636137 ...    0.           0.
     0.       ]]",0
static/voice/Abyan/2023-05-01T01_34_21.105Z.wav,"[[-5.53541504e+02 -5.08943176e+02 -4.79623077e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 5.43846965e-01  3.74839439e+01  5.20807800e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 2.22388893e-01  3.46118140e+00  1.65760958e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-1.02184646e-01  7.52999878e+00  1.22300873e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.46486774e-01  3.51521873e+00  3.17845964e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-4.10816818e-01 -4.72653151e+00 -2.84218621e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_24.286Z.wav,"[[-5.5941052e+02 -5.5812408e+02 -5.2299585e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  1.2923024e+00  2.4003168e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  5.3686398e-01  6.2585993e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00 -2.7544829e-01  2.8026910e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -4.7496587e-02 -2.4494424e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  5.9653491e-01  6.9189196e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_27.552Z.wav,"[[-5.3480493e+02 -4.7052338e+02 -4.5718173e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1214699e+00  3.1723974e+01  3.9506744e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.5510514e+00 -1.1021191e+01 -6.2241688e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-7.4800670e-01 -3.6624980e+00 -5.6023412e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.1338701e+00 -5.8349770e-01  1.7634132e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.7315562e+00 -4.2147094e-01 -4.0952711e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_34.281Z.wav,"[[-535.4762    -491.87216   -449.58762   ...    0.           0.
     0.       ]
 [   0.          -6.1339884   -5.6159067 ...    0.           0.
     0.       ]
 [   0.         -34.310318   -55.69486   ...    0.           0.
     0.       ]
 ...
 [   0.          -1.5066471   -4.2858896 ...    0.           0.
     0.       ]
 [   0.           3.7744489    1.4891293 ...    0.           0.
     0.       ]
 [   0.           3.7010531    2.7092    ...    0.           0.
     0.       ]]",0
static/voice/Abyan/2023-05-01T01_34_37.530Z.wav,"[[-5.4918939e+02 -4.9775775e+02 -4.7035522e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.8375139e+00  4.1913258e+01  5.3038979e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.4750477e+00  1.5530896e+01  6.9568815e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-1.8058050e-01 -1.7107050e-01 -1.9184278e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.3188787e+00  6.3297564e-01  2.5413618e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.3465909e+00  2.3098338e-01 -1.1962876e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_40.858Z.wav,"[[-5.5228381e+02 -5.2250299e+02 -5.0459189e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.3611275e+01  5.0164040e+01  5.6875893e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2570040e+01  4.1575336e+01  3.1707520e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-2.9895431e-01 -1.6995974e+00 -4.8247271e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-4.5202234e-01 -5.1442373e-01  2.7298388e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.9731138e-01 -1.3313215e+00 -5.4005975e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_44.222Z.wav,"[[-5.6697290e+02 -5.5350800e+02 -4.8759930e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  1.4237904e+01  4.6016907e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  7.0696902e+00 -1.6842907e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00 -6.4116842e-01 -3.3146098e-02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -1.0385672e+00 -6.7516880e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -1.3033429e+00 -3.5811093e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2023-05-01T01_34_47.719Z.wav,"[[-5.7071460e+02 -5.2878265e+02 -4.6101468e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.0714232e+00  1.2362961e+01  4.6022739e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1014299e+00 -4.1871576e+00 -1.4677973e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-8.0938375e-01 -5.3074102e+00 -4.7378020e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-8.5554987e-02 -5.8091960e+00 -4.0254116e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.5446476e-01 -2.4292777e+00 -3.9303899e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
